"No","Priority","English","Local",,,
"1","3","nu","nu",,,
"1","3",,,,,
"1","3",,,,,
"2","3","nu","nu",,,
"2","3",,,,,
"2","3",,,,,
"3","3","nu","nu",,,
"3","3",,,,,
"3","3",,,,,
"4","3","nu","nu",,,
"4","3",,,,,
"4","3",,,,,
"5","3","nu","nu",,,
"5","3",,,,,
"5","3",,,,,
"6","3","nu","nu",,,
"6","3",,,,,
"6","3",,,,,
"7","3","nu","nu",,,
"7","3",,,,,
"7","3",,,,,
"8","3","nu","nu",,,
"8","3",,,,,
"8","3",,,,,
"9","1","CMS Watch dog alarm","CMS Watch dog alarm",,,
"9","1",,,,,
"9","1"," Action: No CMS communication
 Device: CMS PC
 Location: Eroom
 Dwg page:
 SW I/O:
 SW ref: FC999
 Alarm SA ref:"," Action: No CMS communication
 Device: CMS PC
 Location: Eroom
 Dwg page:
 SW I/O:
 SW ref: FC999
 Alarm SA ref:",,,
"10","3","nu","nu",,,
"10","3",,,,,
"10","3",,,,,
"11","3","nu","nu",,,
"11","3",,,,,
"11","3",,,,,
"12","3","nu","nu",,,
"12","3",,,,,
"12","3",,,,,
"13","3","nu","nu",,,
"13","3",,,,,
"13","3",,,,,
"14","3","nu","nu",,,
"14","3",,,,,
"14","3",,,,,
"15","3","nu","nu",,,
"15","3",,,,,
"15","3",,,,,
"16","3","nu","nu",,,
"16","3",,,,,
"16","3",,,,,
"17","3","nu","nu",,,
"17","3",,,,,
"17","3",,,,,
"18","3","nu","nu",,,
"18","3",,,,,
"18","3",,,,,
"19","3","nu","nu",,,
"19","3",,,,,
"19","3",,,,,
"20","3","  OB122 I O access error","  OB122 I O access error",,,
"20","3",,,,,
"20","3"," Action: Alarm
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB122
 Alarm SA ref: 9.4.1"," Action: Alarm
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB122
 Alarm SA ref: 9.4.1",,,
"21","3"," OB121 Programming error "," OB121 Programming error ",,,
"21","3",,,,,
"21","3"," Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB121
 Alarm SA ref: 9.4.2 "," Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB121
 Alarm SA ref: 9.4.2 ",,,
"22","3"," OB80 Time error "," OB80 Time error ",,,
"22","3",,,,,
"22","3"," Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB80
 Alarm SA ref: 9.4.3 "," Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB80
 Alarm SA ref: 9.4.3 ",,,
"23","3","nu","nu",,,
"23","3",,,,,
"23","3",,,,,
"24","3","  OB82 Diagnostic Interrupt","  OB82 Diagnostic Interrupt",,,
"24","3",,,,,
